Reference area,TIME_PERIOD,OBS_VALUE,Sex.1
Czechia,1993,12.1,Female
Czechia,1993,13.5,Female
Czechia,1993,16.1,Female
Czechia,1993,18.3,Female
Czechia,1996,18.2,Female
Czechia,1996,17.5,Female
Czechia,1996,44.1,Male
Czechia,1996,40.3,Male
Czechia,1996,41.9,Male
Czechia,1996,42.5,Male
Czechia,1996,45.2,Male
Czechia,1996,43.9,Male
Czechia,1996,46.8,Male
Czechia,1999,24.9,Female
Czechia,1999,26.4,Female
Czechia,1999,26.3,Female
Czechia,1999,26.7,Female
Czechia,1999,27.8,Female
Czechia,1999,27.8,Female
Czechia,1999,41.7,Total
Czechia,1999,44.6,Total
Czechia,1999,46.7,Total
Czechia,2000,47.4,Total
Czechia,2000,51,Total
Czechia,2000,52.6,Total
Czechia,2000,34,Female
Czechia,2000,38.2,Female
Czechia,2000,39.4,Female
Czechia,2000,40.7,Female
Czechia,2000,44.4,Female
Czechia,2000,46.2,Female
Czechia,2002,32.3,Total
Czechia,2002,33.2,Total
Czechia,2002,33.3,Total
Czechia,2002,33.3,Total
Czechia,2002,34.2,Total
Czechia,2002,34.1,Total
Czechia,2002,49.6,Male
Czechia,2002,51.9,Male
Czechia,2002,54.3,Male
Czechia,2005,54.3,Male
Czechia,2005,57.7,Male
Czechia,2005,59.1,Male
Czechia,2005,8.2,Male
Czechia,2005,9.8,Male
Czechia,2005,11,Male
Czechia,2005,13.7,Male
Czechia,2005,14.3,Male
Czechia,2005,14.1,Male
Czechia,2008,17.1,Male
Czechia,2008,18.6,Male
Czechia,2008,39.8,Male
Czechia,2008,40.9,Male
Czechia,2008,40.5,Male
Czechia,2008,40,Male
Czechia,2008,40.6,Male
Czechia,2008,40.5,Male
Czechia,2008,5.5,Total
Czechia,2008,7.6,Total
Czechia,2008,9.5,Total
Czechia,2008,11.4,Total
Czechia,2008,13.4,Total
Czechia,2008,14.2,Total
Czechia,2008,14.9,Total
Czechia,2008,16.8,Total
Czechia,2008,18.5,Total
Czechia,2008,7,Female
Czechia,2010,9.1,Female
Czechia,2010,11.8,Female
Czechia,2010,13.1,Female
Czechia,2010,14,Female
Czechia,2010,15.6,Female
Czechia,2010,16.6,Female
Czechia,2010,18.3,Female
Czechia,2010,37.2,Total
Czechia,2010,43.1,Total
Czechia,2014,44.4,Total
Czechia,2014,45.3,Total
Czechia,2014,48.3,Total
Czechia,2014,48.4,Total
Czechia,2014,51.1,Total
Czechia,2014,52.8,Total
Czechia,2014,52.7,Total
Czechia,2014,51.5,Total
Czechia,2014,53,Total
Czechia,2019,50.2,Total
Czechia,2019,6.8,Total
Czechia,2019,8.8,Total
Czechia,2019,10.3,Total
